cause_of_death,chapter,category,2008_Males,2008_Females,2008_Persons,2009_Males,2009_Females,2009_Persons,2010_Males,2010_Females,2010_Persons,2011_Males,2011_Females,2011_Persons,2012_Males,2012_Females,2012_Persons,2013_Males,2013_Females,2013_Persons,2014_Males,2014_Females,2014_Persons,2015_Males,2015_Females,2015_Persons,2016_Males,2016_Females,2016_Persons,2017_Males,2017_Females,2017_Persons
Intestinal infectious diseases,CHAPTER I Certain infectious and parasitic diseases,A00-A09,23,45,68,29,52,81,34,60,94,51,83,134,66,87,153,97,180,277,116,158,274,103,191,294,111,160,271,124,197,321
Cholera,CHAPTER I Certain infectious and parasitic diseases,A00,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Typhoid and paratyphoid fevers,CHAPTER I Certain infectious and parasitic diseases,A01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0
Other salmonella infections,CHAPTER I Certain infectious and parasitic diseases,A02,4,2,6,5,3,8,4,5,9,1,2,3,4,3,7,4,4,8,7,3,10,12,5,17,5,1,6,0,6,6
Shigellosis,CHAPTER I Certain infectious and parasitic diseases,A03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other bacterial intestinal infections,CHAPTER I Certain infectious and parasitic diseases,A04,9,21,30,11,15,26,17,30,47,36,62,98,44,65,109,19,48,67,30,31,61,23,39,62,28,41,69,26,40,66
"Other bacterial foodborne intoxications, not elsewhere classified",CHAPTER I Certain infectious and parasitic diseases,A05,1,1,2,1,1,2,0,0,0,0,0,0,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Amoebiasis,CHAPTER I Certain infectious and parasitic diseases,A06,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0,1,1,0,1,1,1,2,0,0,0,0,0,0
Other protozoal intestinal diseases,CHAPTER I Certain infectious and parasitic diseases,A07,0,1,1,0,2,2,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
Viral and other specified intestinal infections,CHAPTER I Certain infectious and parasitic diseases,A08,4,7,11,7,16,23,6,14,20,9,12,21,6,9,15,4,9,13,11,21,32,2,15,17,6,8,14,16,15,31
Other gastroenteritis and colitis of infectious and unspecified origin,CHAPTER I Certain infectious and parasitic diseases,A09,5,13,18,5,14,19,5,11,16,4,7,11,12,8,20,67,118,185,67,103,170,65,131,196,71,109,180,82,136,218
Tuberculosis,CHAPTER I Certain infectious and parasitic diseases,A15-A19,24,27,51,31,13,44,32,19,51,20,20,40,18,12,30,33,17,50,29,14,43,26,22,48,21,24,45,21,25,46
"Respiratory tuberculosis, bacteriologically and histologically confirmed",CHAPTER I Certain infectious and parasitic diseases,A15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
"Respiratory tuberculosis, not confirmed bacteriologically or histologically",CHAPTER I Certain infectious and parasitic diseases,A16,18,19,37,20,12,32,26,18,44,13,16,29,13,6,19,25,16,41,24,10,34,17,18,35,17,20,37,15,17,32
Tuberculosis of nervous system,CHAPTER I Certain infectious and parasitic diseases,A17,1,0,1,1,0,1,1,0,1,0,2,2,0,0,0,0,1,1,1,1,2,0,0,0,0,0,0,0,2,2
Tuberculosis of other organs,CHAPTER I Certain infectious and parasitic diseases,A18,2,5,7,7,1,8,2,0,2,4,0,4,1,5,6,6,0,6,4,2,6,2,4,6,2,4,6,3,4,7
Miliary tuberculosis,CHAPTER I Certain infectious and parasitic diseases,A19,3,3,6,3,0,3,3,1,4,3,2,5,4,1,5,2,0,2,0,1,1,7,0,7,2,0,2,2,1,3
Certain zoonotic bacterial diseases,CHAPTER I Certain infectious and parasitic diseases,A20-A28,6,2,8,3,1,4,3,3,6,0,3,3,8,3,11,1,1,2,2,3,5,2,1,3,2,2,4,4,2,6
Plague,CHAPTER I Certain infectious and parasitic diseases,A20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tularaemia,CHAPTER I Certain infectious and parasitic diseases,A21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
