cause_of_death,chapter,count,year,sex,cause_of_death_map
Intestinal infectious diseases,Certain infectious and parasitic diseases,23,2008,Males,
Cholera,Certain infectious and parasitic diseases,0,2008,Males,
Typhoid and paratyphoid fevers,Certain infectious and parasitic diseases,0,2008,Males,
Other salmonella infections,Certain infectious and parasitic diseases,4,2008,Males,
Shigellosis,Certain infectious and parasitic diseases,0,2008,Males,
Other bacterial intestinal infections,Certain infectious and parasitic diseases,9,2008,Males,
"Other bacterial foodborne intoxications, not elsewhere classified",Certain infectious and parasitic diseases,1,2008,Males,
Amoebiasis,Certain infectious and parasitic diseases,0,2008,Males,
Other protozoal intestinal diseases,Certain infectious and parasitic diseases,0,2008,Males,
Viral and other specified intestinal infections,Certain infectious and parasitic diseases,4,2008,Males,
Other gastroenteritis and colitis of infectious and unspecified origin,Certain infectious and parasitic diseases,5,2008,Males,
Tuberculosis,Certain infectious and parasitic diseases,24,2008,Males,
"Respiratory tuberculosis, bacteriologically and histologically confirmed",Certain infectious and parasitic diseases,0,2008,Males,
"Respiratory tuberculosis, not confirmed bacteriologically or histologically",Certain infectious and parasitic diseases,18,2008,Males,
Tuberculosis of nervous system,Certain infectious and parasitic diseases,1,2008,Males,
Tuberculosis of other organs,Certain infectious and parasitic diseases,2,2008,Males,
Miliary tuberculosis,Certain infectious and parasitic diseases,3,2008,Males,
Certain zoonotic bacterial diseases,Certain infectious and parasitic diseases,6,2008,Males,
Plague,Certain infectious and parasitic diseases,0,2008,Males,
Tularaemia,Certain infectious and parasitic diseases,0,2008,Males,
Anthrax,Certain infectious and parasitic diseases,0,2008,Males,
Brucellosis,Certain infectious and parasitic diseases,0,2008,Males,
Glanders and melioidosis,Certain infectious and parasitic diseases,6,2008,Males,
Rat-bite fevers,Certain infectious and parasitic diseases,0,2008,Males,
Erysipeloid,Certain infectious and parasitic diseases,0,2008,Males,
Leptospirosis,Certain infectious and parasitic diseases,0,2008,Males,
"Other zoonotic bacterial diseases, not elsewhere classified",Certain infectious and parasitic diseases,0,2008,Males,
Other bacterial diseases,Certain infectious and parasitic diseases,613,2008,Males,
Leprosy [Hansen's disease],Certain infectious and parasitic diseases,1,2008,Males,
Infection due to other mycobacteria,Certain infectious and parasitic diseases,6,2008,Males,
Listeriosis,Certain infectious and parasitic diseases,2,2008,Males,
Tetanus neonatorum,Certain infectious and parasitic diseases,0,2008,Males,
Obstetrical tetanus,Certain infectious and parasitic diseases,0,2008,Males,
Other tetanus,Certain infectious and parasitic diseases,0,2008,Males,
Diphtheria,Certain infectious and parasitic diseases,0,2008,Males,
Whooping cough,Certain infectious and parasitic diseases,0,2008,Males,
Scarlet fever,Certain infectious and parasitic diseases,0,2008,Males,
Meningococcal infection,Certain infectious and parasitic diseases,8,2008,Males,
Streptococcal sepsis,Certain infectious and parasitic diseases,17,2008,Males,
Other sepsis,Certain infectious and parasitic diseases,553,2008,Males,
Actinomycosis,Certain infectious and parasitic diseases,1,2008,Males,
Nocardiosis,Certain infectious and parasitic diseases,3,2008,Males,
Bartonellosis,Certain infectious and parasitic diseases,0,2008,Males,
Erysipelas,Certain infectious and parasitic diseases,0,2008,Males,
"Other bacterial diseases, not elsewhere classified",Certain infectious and parasitic diseases,6,2008,Males,
Bacterial infection of unspecified site,Certain infectious and parasitic diseases,16,2008,Males,
Infections with a predominantly sexual mode of transmission,Certain infectious and parasitic diseases,6,2008,Males,
Congenital syphilis,Certain infectious and parasitic diseases,0,2008,Males,
Early syphilis,Certain infectious and parasitic diseases,0,2008,Males,
Late syphilis,Certain infectious and parasitic diseases,4,2008,Males,
Other and unspecified syphilis,Certain infectious and parasitic diseases,1,2008,Males,
Gonococcal infection,Certain infectious and parasitic diseases,1,2008,Males,
Chlamydial lymphogranuloma (venereum),Certain infectious and parasitic diseases,0,2008,Males,
Other sexually transmitted chlamydial diseases,Certain infectious and parasitic diseases,0,2008,Males,
Chancroid,Certain infectious and parasitic diseases,0,2008,Males,
Granuloma inguinale,Certain infectious and parasitic diseases,0,2008,Males,
Trichomoniasis,Certain infectious and parasitic diseases,0,2008,Males,
Anogenital herpesviral [herpes simplex] infection,Certain infectious and parasitic diseases,0,2008,Males,
"Other predominantly sexually transmitted diseases, not elsewhere classified",Certain infectious and parasitic diseases,0,2008,Males,
Unspecified sexually transmitted disease,Certain infectious and parasitic diseases,0,2008,Males,
Other spirochaetal diseases,Certain infectious and parasitic diseases,0,2008,Males,
Nonvenereal syphilis,Certain infectious and parasitic diseases,0,2008,Males,
Yaws,Certain infectious and parasitic diseases,0,2008,Males,
Pinta [carate],Certain infectious and parasitic diseases,0,2008,Males,
Relapsing fevers,Certain infectious and parasitic diseases,0,2008,Males,
Other spirochaetal infections,Certain infectious and parasitic diseases,0,2008,Males,
Other diseases caused by chlamydiae,Certain infectious and parasitic diseases,0,2008,Males,
Chlamydia psittaci infection,Certain infectious and parasitic diseases,0,2008,Males,
Trachoma,Certain infectious and parasitic diseases,0,2008,Males,
Other diseases caused by chlamydiae,Certain infectious and parasitic diseases,0,2008,Males,
Rickettsioses,Certain infectious and parasitic diseases,0,2008,Males,
Typhus fever,Certain infectious and parasitic diseases,0,2008,Males,
Spotted fever [tick-borne rickettsioses],Certain infectious and parasitic diseases,0,2008,Males,
Q fever,Certain infectious and parasitic diseases,0,2008,Males,
Other rickettsioses,Certain infectious and parasitic diseases,0,2008,Males,
Viral infections of the central nervous system,Certain infectious and parasitic diseases,24,2008,Males,
Acute poliomyelitis,Certain infectious and parasitic diseases,0,2008,Males,
Slow virus infections of central nervous system,Certain infectious and parasitic diseases,14,2008,Males,
Rabies,Certain infectious and parasitic diseases,0,2008,Males,
Mosquito-borne viral encephalitis,Certain infectious and parasitic diseases,1,2008,Males,
Tick-borne viral encephalitis,Certain infectious and parasitic diseases,0,2008,Males,
"Other viral encephalitis, not elsewhere classified",Certain infectious and parasitic diseases,1,2008,Males,
Unspecified viral encephalitis,Certain infectious and parasitic diseases,7,2008,Males,
Viral meningitis,Certain infectious and parasitic diseases,1,2008,Males,
"Other viral infections of central nervous system, not elsewhere classified",Certain infectious and parasitic diseases,0,2008,Males,
Unspecified viral infection of central nervous system,Certain infectious and parasitic diseases,0,2008,Males,
Arthropod-borne viral fevers and viral haemorrhagic fevers,Certain infectious and parasitic diseases,0,2008,Males,
Dengue fever [classical dengue],Certain infectious and parasitic diseases,0,2008,Males,
Dengue haemorrhagic fever,Certain infectious and parasitic diseases,0,2008,Males,
Other mosquito-borne viral fevers,Certain infectious and parasitic diseases,0,2008,Males,
"Other arthropod-borne viral fevers, not elsewhere classified",Certain infectious and parasitic diseases,0,2008,Males,
Unspecified arthropod-borne viral fever,Certain infectious and parasitic diseases,0,2008,Males,
Yellow fever,Certain infectious and parasitic diseases,0,2008,Males,
Arenaviral haemorrhagic fever,Certain infectious and parasitic diseases,0,2008,Males,
"Other viral haemorrhagic fevers, not elsewhere classified",Certain infectious and parasitic diseases,0,2008,Males,
Unspecified viral haemorrhagic fever,Certain infectious and parasitic diseases,0,2008,Males,
Viral infections characterized by skin and mucous membrane lesions,Certain infectious and parasitic diseases,25,2008,Males,
Herpesviral [herpes simplex] infections,Certain infectious and parasitic diseases,12,2008,Males,
Varicella [chickenpox],Certain infectious and parasitic diseases,1,2008,Males,
Zoster [herpes zoster],Certain infectious and parasitic diseases,12,2008,Males,
Smallpox,Certain infectious and parasitic diseases,0,2008,Males,
Monkeypox,Certain infectious and parasitic diseases,0,2008,Males,
Measles,Certain infectious and parasitic diseases,0,2008,Males,
Rubella [German measles],Certain infectious and parasitic diseases,0,2008,Males,
Viral warts,Certain infectious and parasitic diseases,0,2008,Males,
"Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified",Certain infectious and parasitic diseases,0,2008,Males,
Unspecified viral infection characterized by skin and mucous membrane lesions,Certain infectious and parasitic diseases,0,2008,Males,
Viral hepatitis,Certain infectious and parasitic diseases,35,2008,Males,
Acute hepatitis A,Certain infectious and parasitic diseases,3,2008,Males,
Acute hepatitis B,Certain infectious and parasitic diseases,4,2008,Males,
Other acute viral hepatitis,Certain infectious and parasitic diseases,1,2008,Males,
Chronic viral hepatitis,Certain infectious and parasitic diseases,25,2008,Males,
Unspecified viral hepatitis,Certain infectious and parasitic diseases,2,2008,Males,
Human immunodeficiency virus [HIV] disease,Certain infectious and parasitic diseases,59,2008,Males,
Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases,Certain infectious and parasitic diseases,21,2008,Males,
Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms,Certain infectious and parasitic diseases,9,2008,Males,
Human immunodeficiency virus [HIV] disease resulting in other specified diseases,Certain infectious and parasitic diseases,9,2008,Males,
Human immunodeficiency virus [HIV] disease resulting in other conditions,Certain infectious and parasitic diseases,15,2008,Males,
Unspecified human immunodeficiency virus [HIV] disease,Certain infectious and parasitic diseases,5,2008,Males,
Other viral diseases,Certain infectious and parasitic diseases,21,2008,Males,
Cytomegaloviral disease,Certain infectious and parasitic diseases,2,2008,Males,
Mumps,Certain infectious and parasitic diseases,0,2008,Males,
Infectious mononucleosis,Certain infectious and parasitic diseases,2,2008,Males,
Viral conjunctivitis,Certain infectious and parasitic diseases,0,2008,Males,
"Other viral diseases, not elsewhere classified",Certain infectious and parasitic diseases,2,2008,Males,
Viral infection of unspecified site,Certain infectious and parasitic diseases,15,2008,Males,
Mycoses,Certain infectious and parasitic diseases,22,2008,Males,
Dermatophytosis,Certain infectious and parasitic diseases,0,2008,Males,
Other superficial mycoses,Certain infectious and parasitic diseases,0,2008,Males,
Candidiasis,Certain infectious and parasitic diseases,7,2008,Males,
Coccidioidomycosis,Certain infectious and parasitic diseases,0,2008,Males,
Histoplasmosis,Certain infectious and parasitic diseases,0,2008,Males,
Blastomycosis,Certain infectious and parasitic diseases,0,2008,Males,
Paracoccidioidomycosis,Certain infectious and parasitic diseases,0,2008,Males,
Sporotrichosis,Certain infectious and parasitic diseases,0,2008,Males,
Chromomycosis and phaeomycotic abscess,Certain infectious and parasitic diseases,0,2008,Males,
Aspergillosis,Certain infectious and parasitic diseases,7,2008,Males,
Cryptococcosis,Certain infectious and parasitic diseases,4,2008,Males,
Zygomycosis,Certain infectious and parasitic diseases,0,2008,Males,
Mycetoma,Certain infectious and parasitic diseases,1,2008,Males,
"Other mycoses, not elsewhere classified",Certain infectious and parasitic diseases,0,2008,Males,
Unspecified mycosis,Certain infectious and parasitic diseases,3,2008,Males,
Protozoal diseases,Certain infectious and parasitic diseases,12,2008,Males,
Plasmodium falciparum malaria,Certain infectious and parasitic diseases,0,2008,Males,
Plasmodium vivax malaria,Certain infectious and parasitic diseases,0,2008,Males,
Plasmodium malariae malaria,Certain infectious and parasitic diseases,0,2008,Males,
Other parasitologically confirmed malaria,Certain infectious and parasitic diseases,0,2008,Males,
Unspecified malaria,Certain infectious and parasitic diseases,0,2008,Males,
Leishmaniasis,Certain infectious and parasitic diseases,0,2008,Males,
African trypanosomiasis,Certain infectious and parasitic diseases,0,2008,Males,
Chagas' disease,Certain infectious and parasitic diseases,0,2008,Males,
Toxoplasmosis,Certain infectious and parasitic diseases,1,2008,Males,
Pneumocystosis,Certain infectious and parasitic diseases,11,2008,Males,
"Other protozoal diseases, not elsewhere classified",Certain infectious and parasitic diseases,0,2008,Males,
Unspecified protozoal disease,Certain infectious and parasitic diseases,0,2008,Males,
Helminthiases,Certain infectious and parasitic diseases,1,2008,Males,
Schistosomiasis [bilharziasis],Certain infectious and parasitic diseases,0,2008,Males,
Other fluke infections,Certain infectious and parasitic diseases,0,2008,Males,
Echinococcosis,Certain infectious and parasitic diseases,1,2008,Males,
Taeniasis,Certain infectious and parasitic diseases,0,2008,Males,
Cysticercosis,Certain infectious and parasitic diseases,0,2008,Males,
Diphyllobothriasis and sparganosis,Certain infectious and parasitic diseases,0,2008,Males,
Other cestode infections,Certain infectious and parasitic diseases,0,2008,Males,
Dracunculiasis,Certain infectious and parasitic diseases,0,2008,Males,
Onchocerciasis,Certain infectious and parasitic diseases,0,2008,Males,
Filariasis,Certain infectious and parasitic diseases,0,2008,Males,
Trichinellosis,Certain infectious and parasitic diseases,0,2008,Males,
Hookworm diseases,Certain infectious and parasitic diseases,0,2008,Males,
Ascariasis,Certain infectious and parasitic diseases,0,2008,Males,
Strongyloidiasis,Certain infectious and parasitic diseases,0,2008,Males,
Trichuriasis,Certain infectious and parasitic diseases,0,2008,Males,
Enterobiasis,Certain infectious and parasitic diseases,0,2008,Males,
"Other intestinal helminthiases, not elsewhere classified",Certain infectious and parasitic diseases,0,2008,Males,
Unspecified intestinal parasitism,Certain infectious and parasitic diseases,0,2008,Males,
Other helminthiases,Certain infectious and parasitic diseases,0,2008,Males,
"Pediculosis, acariasis and other infestations",Certain infectious and parasitic diseases,0,2008,Males,
Pediculosis and phthiriasis,Certain infectious and parasitic diseases,0,2008,Males,
Scabies,Certain infectious and parasitic diseases,0,2008,Males,
Myiasis,Certain infectious and parasitic diseases,0,2008,Males,
Other infestations,Certain infectious and parasitic diseases,0,2008,Males,
Unspecified parasitic disease,Certain infectious and parasitic diseases,0,2008,Males,
Sequelae of infectious and parasitic diseases,Certain infectious and parasitic diseases,132,2008,Males,
Sequelae of tuberculosis,Certain infectious and parasitic diseases,7,2008,Males,
Sequelae of poliomyelitis,Certain infectious and parasitic diseases,3,2008,Males,
Sequelae of leprosy,Certain infectious and parasitic diseases,0,2008,Males,
Sequelae of other and unspecified infectious and parasitic diseases,Certain infectious and parasitic diseases,122,2008,Males,
"Bacterial,viral and other infectious agents",Certain infectious and parasitic diseases,0,2008,Males,
Streptococcus and staphylococcus as the cause of diseases classified to other chapters,Certain infectious and parasitic diseases,0,2008,Males,
Other bacterial agents as the cause of diseases classified to other chapters,Certain infectious and parasitic diseases,0,2008,Males,
Viral agents as the cause of diseases classified to other chapters,Certain infectious and parasitic diseases,0,2008,Males,
Other specified infectious agents as the cause of diseases classified to other chapters,Certain infectious and parasitic diseases,0,2008,Males,
Other infectious diseases,Certain infectious and parasitic diseases,12,2008,Males,
Other and unspecified infectious diseases,Certain infectious and parasitic diseases,12,2008,Males,
Malignant neoplasms,Neoplasms,23347,2008,Males,
"Malignant neoplasms of lip, oral cavity and pharynx",Neoplasms,478,2008,Males,
Malignant neoplasm of lip,Neoplasms,10,2008,Males,
Malignant neoplasm of base of tongue,Neoplasms,14,2008,Males,
Malignant neoplasm of other and unspecified parts of tongue,Neoplasms,106,2008,Males,
Malignant neoplasm of gum,Neoplasms,4,2008,Males,
Malignant neoplasm of floor of mouth,Neoplasms,16,2008,Males,
